just tokenization,stemming,lemmatization,stemming+misspelling,lemmatization+misspelling,just tokenization without stopwords
unhappy feeling bored wish could sleep early unhappy,unhappi feel bore wish could sleep earli unhappi,unhappy feeling bored wish could sleep early unhappy,unhappily feel bore wish could sleep earl unhappily,unhappy feeling bore wish could sleep early unhappy,unhappy feeling bored wish could sleep early unhappy
hope start getting data per day tonight unhappy,hope start get data per day tonight unhappi,hope start getting data per day tonight unhappy,hope start get data per day tonight unhappily,hope start getting data per day tonight unhappy,just hope start getting the data per day from tonight unhappy
koalas dying thirst us unhappy,koala die thirst us unhappi,koala dying thirst u unhappy,koala die thirst us unhappily,koala dying thirst u unhappy,koalas are dying of thirst and it all because of us unhappy
want see happy sad,want see happi sad,want see happy sad,want see happier sad,want see happy sad,want to see you happy sad
told bugger hung waned access pc phoned someone like gran,told bugger hung wane access pc phone someon like gran,told bugger hung waned access pc phoned someone like gran,told bugger hung wane access popcorn phone someone like grand,told bugger hung waned access popcorn phone someone like grand,just told them to bugger off and hung up they waned access to my pc if they phoned someone like my gran
braces hurt unhappy,brace hurt unhappi,brace hurt unhappy,brace hurt unhappily,brace hurt unhappy,my braces hurt unhappy
ohh welcome clxsslc chanyeol oppa call richard kalau jadi sayang gimana unhappy,ohh welcom clxsslc chanyeol oppa call richard kalau jadi sayang gimana unhappi,ohh welcome clxsslc chanyeol oppa call richard kalau jadi sayang gimana unhappy,oh welcome class chang opah call rich kala jadish sang gigman unhappily,oh welcome class chang opah call rich kala jadish sang gigman unhappy,ohh welcome to clxsslc chanyeol oppa or should call you with richard kalau jadi sayang gimana unhappy
talk anymore like used unhappy,talk anymor like use unhappi,talk anymore like used unhappy,talk ananym like use unhappily,talk ananym like used unhappy,we don talk anymore like we used to do unhappy
claaaaaaaaaaaaasse,claaaaaaaaaaaaass,claaaaaaaaaaaaasse,class,classed,claaaaaaaaaaaaasse
pity unhappy beautiful thank answer sciatica monumental pain arse unhappy,piti unhappi beauti thank answer sciatica monument pain ars unhappi,pity unhappy beautiful thank answer sciatica monumental pain arse unhappy,pit unhappily beauti thank answer sciatica monument pain arse unhappily,pity unhappy beautiful thank answer sciatica monumental pain arse unhappy,what pity unhappy those were beautiful but thank you for your answer sciatica what monumental pain in the arse unhappy
escalated quickly aborting mission nice day though,escal quickli abort mission nice day though,escalated quickly aborting mission nice day though,esca quicklime abort mission nice day though,escalate quickly abortin mission nice day though,this escalated quickly aborting mission now have nice day though
thank tons rocks next question astro unhappy back unhappy,thank ton rock next question astro unhappi back unhappi,thank ton rock next question astro unhappy back unhappy,thank ton rock next question astroid unhappily back unhappily,thank ton rock next question astroid unhappy back unhappy,thank you tons rocks next question where is my astro unhappy her back unhappy
stream tonight throat killing unhappy,stream tonight throat kill unhappi,stream tonight throat killing unhappy,stream tonight throat kill unhappily,stream tonight throat killing unhappy,no stream tonight throat is killing me unhappy
wo n't miss hgvs going past house though nice looking building initiall,wo n't miss hgv go past hous though nice look build initial,wo n't miss hgvs going past house though nice looking building initiall,wo n miss hatchgate go past house though nice look build initial,wo n miss hatchgate going past house though nice looking building initially,me too wo n't miss the hgvs going past our house though it was nice looking building had initiall
n't say unhappy,n't say unhappi,n't say unhappy,n say unhappily,n say unhappy,do n't say that unhappy
summer school vocabulary unhappy need air please tell,summer school vocabulari unhappi need air pleas tell,summer school vocabulary unhappy need air please tell,summer school vocabular unhappily need air please tell,summer school vocabulary unhappy need air please tell,summer not in our school vocabulary unhappy we need air please tell
bae unhappy,bae unhappi,bae unhappy,bae unhappily,bae unhappy,bae not here unhappy
wan na get haircut know good place unhappy,wan na get haircut know good place unhappi,wan na get haircut know good place unhappy,wan na get haircut know good place unhappily,wan na get haircut know good place unhappy,wan na get haircut but don know good place unhappy
feels kind empty youngjae venue unhappy,feel kind empti youngja venu unhappi,feel kind empty youngjae venue unhappy,feel kind empt young venue unhappily,feel kind empty young venue unhappy,it feels kind of empty youngjae at the venue unhappy
back unhappy,back unhappi,back unhappy,back unhappily,back unhappy,her back unhappy
yeah,yeah,yeah,yeah,yeah,yeah
think going true,think go true,think going true,think go true,think going true,think that going to be true
ca n't leave us unhappy,ca n't leav us unhappi,ca n't leave u unhappy,ca n leave us unhappily,ca n leave u unhappy,he ca n't leave us unhappy
yesterday felt like friday unhappy,yesterday felt like friday unhappi,yesterday felt like friday unhappy,yesterday felt like frigid unhappily,yesterday felt like frigid unhappy,yesterday felt like friday unhappy
please rt buy blinking taehyung headband get retweets likes help un yes instant message sad crying,pleas rt buy blink taehyung headband get retweet like help un ye instant messag sad cri,please rt buy blinking taehyung headband get retweets like help un yes instant message sad cry,please rorty buy blink tangun headband get reet like help un ye instant message sad crib,please rorty buy blinking tangun headband get reet like help un yes instant message sad cry,please rt he buy me blinking taehyung headband if get retweets and likes help me un yes instant message sad crying
face swapped cat dog really upsetting unhappy,face swap cat dog realli upset unhappi,face swapped cat dog really upsetting unhappy,face swap cat dog really upset unhappily,face swapper cat dog really upsetting unhappy,face swapped cat with dog and it really upsetting unhappy
nice really nice stuff mostly black dresses wo n't get away june wedding though unhappy,nice realli nice stuff mostli black dress wo n't get away june wed though unhappi,nice really nice stuff mostly black dress wo n't get away june wedding though unhappy,nice really nice stuff mostlike black dress wo n get away june wed though unhappily,nice really nice stuff mostly black dress wo n get away june wedding though unhappy,nice some really nice stuff there mostly black dresses which wo n't get away with for june wedding though unhappy
miss unhappy,miss unhappi,miss unhappy,miss unhappily,miss unhappy,miss you unhappy
beyond sad unhappy,beyond sad unhappi,beyond sad unhappy,beyond sad unhappily,beyond sad unhappy,beyond sad unhappy
goodnight princess love fun friends,goodnight princess love fun friend,goodnight princess love fun friend,good princess love fun friend,good princess love fun friend,goodnight princess love you have fun with your friends
yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,ygapo sent magicdom want see hold trophi unhappily anyway,ygapo sent magicdom want see holding trophy unhappy anyways,yg should have sent them to mcd want to see them holding the trophy unhappy anyways
something really wrong spending days naked beach hot sunshine working cold king lynn sad,someth realli wrong spend day nake beach hot sunshin work cold king lynn sad,something really wrong spending day naked beach hot sunshine working cold king lynn sad,something really wrong spend day nake beach hot sunshine work cold king llyn sad,something really wrong spending day naked beach hot sunshine working cold king llyn sad,something is really wrong should be spending my days naked on beach in the hot sunshine not working in the cold in king lynn sad
